labels,posts,,
Hate,Usboo saree amaaraa maal baaragaan waan walitti hin deemne bocca jalee ,,
Hate,Harree biyyaa taumtu jiraa biyyaa Mootummaan hin jireedha Itoophiyaa Abiyoti kassayye fakkii englizzii kun,,
Hate,mangaan ol yaatee finfinnee keenya jetti,,
Hate,ODP lubbuun ni jirtii ammayyuu maaloo miseensa opdo nurraa balleessaa jarri hundishee bineensa,,
Free,Tokko bar anatu guyyaa irreecha finfinnee itti maree deemee Jarri hin saalfattuu narraa fudhachuuf jetti,,
Free,Hatau male hamma ammaatti qaamni Mootummaas taee midiyaan waaee waraanaa gabaasaa ture waan kana waa tokko hin dubbanne,,
Free,Wayyaaneen hara maalif Rookkeettii dhukaasuu dadhabdeekkkkWayyaaneen hara immoo Masaraa  Kiilootti dhukaasuuf qophoofteetti jettanii warreen munaagaa turtan akkam jirtunagumaaOdeessuun yoom gocha taheeNagaan boqodhu WayyaaneeNagaan boqodhaa jaleewwan WayyaaneeRIP Juntaa,,
Free,Dabalataan shamarreen kun poolisiin barataa Anuwaar waliin doormii tokko galuufi Anuwaar na doorsisa jedhe sanaan osoo harka dhiqatuu argee 'ijjiin indatitaxeb' jedhee yeroo dubbatu dhagaheera jechuun natti himte jette Amiinaan.,,
Hate,Harree bara hudaa dobumaana umata keena gabroomsuf hinyaadina,,
Hate,Hhhhhhh ragaa soba jattee Yeroo isinirratti ragaan soba bahamu biyya diiga Yeroo jawar irratti bahamu biyyaa jaara amaaraa hudduu quba isin haa kessuu dantaa tessani isin lachu tokkuma,,
Free,gaafin oromoo hammam itiiyaadama jira afaan oromoo itiiyaadamuqaba afaan biyyollesa har ayoontain yoom,,
Free,Ani kan na dhibu OBS Maaliif waan guyyaa tokko waraabe jia tokko guutuu walitti fufinsaan  dhiheessa mee itti yaada lakki,,
Free,"Gannaalee Daawwaa 3ffaan daangaa Godina Gujii fi Baalee laga Gannaalee irratti, Finfinnee irraa Kiilo Meetira 63Normalfagaatee argama",,
Hate,Anii duruu si jalladhuu garuu Wagga tanaa raamadanaa keesa gafaa fuxuraa San qofaa boyee  garuu sanis waan atii dhayxef nuf himtee narra gaalee abba garaa,,
Hate,Ajiibaa Afaan amaaraatii ibsaa basuu egalatani,,
Hate,bilxiginnaan eessa turee lafti hangana geyu yeroo weeraramuu qaxaafii walumaan araqee dhugaa turtan isin lachuutuu hattuudhaa amma maaltu wal sin dhabsiise ree,,
Free,Dhaabbileen oromoo ala kanatti hafe hin jiruun Dhugaadha tani jirtu biyya keessallleen dhugaadha garuu dhaabbilee kana kan biyya baqaatii qeeetti galche waan silaa dhaabni bilisa baasaa tokko godhuu qabu lolanii diina mooatanii osoo hin taane mormii ummanni biyyaa gabrummaa baachuu dadhabnaan harka duwwaa oli kaee mootummaa hanga funyaaniiti hidhateen kokkee woli qabee mooatee ofisi bilisoomse dhabbolii kanneenis bilisaan biyyaatti dachaase gaafa Ala jiran maqaa qofa qabatanii taaaa turan Erga galanii hoo gaaffii Ummanni akka Gaaddisa tokko jalatti galan itti woyiwwaachuu eegale arra boru caayaa tokko jala galan josoo jedhee Ummanni oromoo eegu inumaayyuu facauun daran hammaate  Sabni kuni maali haa tahu  Kami haa amanu ,,
Hate,Lencaa koo walayii lubbuu ko  fidayi ke hatatuu walayii hamtun sif dhufee anuman habatuu walayii ,,
Hate,hattoota kana hin kadhatiinaa tarkaanffiii fudhadhaa too hojii daldalaa keessaa baasaa. boru guyyaa adii biyyattii gurguruuf duubatti hin deebitu jarattiin,,
Free,Umrniin jarri keessatti hidhamanii jiran kun dhibbeentaa 9normal% dargaggeessa yeroo namni taaabbatee bultiif qophaau umrii baqatanii jalaa bahan arianii dhaqqaban ture garuu namni qananiif biyyaa hin bahu waan jara baase akka rakkina jireenyaa tae namni hin beyne yoo jiraate nama hidhalatin qofa na jechisiisa,,
Free,Dhimma kanarratti kitaabas barreesseera,,
Hate,Wanuma kirsatana taaani jibitani sarewani hadha kesaani waqayyoo kani duanif nafse yamaru hin tacaca ina kaa,,
Free, Marsaa 2ffaan lafa heektara 450 ol qamadii jallisiin qotuuf hojjetamaa jira jedhan,,
Hate,Hattootaf gantuuwwaan,,
Hate,tigireen dhiiga oromoo of harkaa qabdi akkamiin amanamti warra gumaati nu wajjin,,
Free,Gaafa Sanbataa darbe saatii jaa irraa eegalanii saba Amaaraa irratti haleellaa raawwachuu eegalan,,
Hate,Abbo ani ilma oromooti nama safuufi duudhaa oromoo beeku ajaan albaatii keeti moobaayila koo butuche amma booda block si godha ,,
Hate,Tplfn dhiira kaayyoo isaaniif waan lolaniif Inni kan keenyaa nafxenyaa jala fiigee waan dantaa isaani guutuuf hin jaalladhuu ppn hacaaluu galaafate juwaarii baqqalaa abdii raggaasaa hiitee diinaa oromoodhaa kanaaf ppn kuffisuu qabna humna rabbiitin,,
Free,Jaal Daawud Ibsaa Ogganaa Dhaabaa qofa seetanii isin Oogganaa Biyya Impaayera Oromiyaa ti beekaa kana boodaJaal Daawud Ibsa the   leader of Republic of Oromia Country,,
Free,Koreen Dhaabbii Dhimma BuÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢uuraalee Misoomaa Caffee Oromiyaa raawwii hojii walakkaa waggaa bara 2normal12 sektaroota jahaa qorachaa jira.,,
Hate,Nageenyi biyya keetii har'a sitti mul'atee amma lubbuun  hudduun isin  baanaan watwaachuu eegaltan,,
Free,Ityoophiyaan marsaa jalqabaatti talaallii vaayrasii koroona miiliyoona 2,,
Hate,Afuuftu hanga yoo akkatti kijibaan biyya cesiftan wayyaneen daaraa isin godhaa jirtii  ummanni quba qaba,,
Free,Kana akkan itti callisu hin qabu\nMasjiinni kun qabeenya muslimootaa qofa osoo hin taane qabeenya biyyattii kanati yuniskootti galmaaee jira,,
Hate,Gadhee afuufi xurumbaawaan ajaibaa Midiyaan kan isaan akka barbadan itti kijibuu kunin gantuun silaa dhugaa irra hin dhegiduu worra kanin kan farsoon machaaee,,
Hate,Nuti Diigamuuf dhiisuun immiyyee itiyoophiyaa oromoo hin ilaallatu Adeeroo,,
Hate,Albaati,,
Hate,Aangoon akkanatti miti kan walitti darbu ABOdha malee OPDO miti,,
Free, Naannoo WBOn sossou keessatti namoota saba biraa jumlaan ajjeesuun ABOtti haqachuu kan jedhu,,
Free,Maalii addisuu yeroo tokko mallasiin my hero hinjenee ammaa afaan qabdaa dubbataa juntaa jechuun issinii,,
Free,Poolaanditti yeroo 14ffaaf kan gaggeeffamu waldorgommii walakkaa maraatoonii addunyaarratti atleetota biyya keenya bakka buanii hirmaatan filachuuf kan taasifame ta'uu Federeeshiniin Atleetiksii Ityoophiyaa beeksiseera.,,
Free, Waan as deemaa jiru maraaf qophaahuu gaafata,,
Free,maaliif nafxanyaan finfinnee handhuura oromoorra teessee oromoo arrabditi gaallaa gaafa jedhamu arrabsoob kun isin ilaallatamoo isin hin ilaallatu maalumaaf oromummaa keessan dagattan kun maal jechuudha  isiniinis lakkisaa isin oromoodha jedhanii isin gorsuu barbaachisamoo  maal taatan maaliif oromootti gadhee duulchistu  yookiin duuriyyoota finfinnee teessee oromoo arrabsitu irratti tarkaanfii i hin fudhanne yookiin uummanni akka falmatuuf jalaa hin gorre kun seenaan isin hin gaafatuu maal taatan jedhan  olaantummaan seeraa kan kabajamu oromoo qofa irrattii seera kan cabsus oromoo qofaa qawween keessan sun taankiinis oromoo ittiin dararuuf qofa bitamee adaraa dhiiga uummata oromoo  of taaa of hin hatinaa nama of hatu poolisiin argee hin qabu adaraa adaraa jijjiiramni tokkoyyuu hin jiru jijjiiramatu jira jettaniimmoo nutti hin iyyinaa oromoon waan nyaatee buluyyuu dhabeera mootummaa wayyaaneetu mootummaa nafxanyaatti jijjiirame loogoo jijjiirrattan malee onnoo keessan hin jijjiirranne silaa yoo xiqqaatellee uummanni kun nagaa argachuu qaba ture nagaan qabeenya caala  MENEMENE TEKEL FAARES,,
Hate,Tultullaa haadha keeti maal kijibda amma Daree dabalataa ijaaru dhiisi isa ijaarrame deemte ilaalte beekta haala akkamii keessa akka jiru Moo Oromiyaa ffaa Ummatni Oromoo hin beeknetu jira yoo san taatef gaariidha Callistee kijibuun kee garuu dogongora guddaadha  ,,
Free,Leenca leenca caalu,,
Hate,Shiraan oromoo meqaa hidhaa jirtuu sanuu aangohota dabalate,,
Free, Mirga hidhamtoota fi walabummaan mana murtii hagam kabajamaa dha,,
Hate,Ummataaf osoo yaaddee saba walqixxeessuudha nuti wayyeeneen baleesse jennee hin fudhannu mirga ofii falmate Jenna sobduu garan  bite duwwaadha seexaanni,,
Free,Duru badee amaas badi ati  Waqayyoo akkaa ija si jamsee dutee kees nu haa dhagesisu                      RIP seeraa biyyaa toophiya ,,
Free,Gabaasa mata duree sadii qabu bakka tokkotti dhiyeessuun maaliif barbaachisee  Bakka bu,,
Free,Deeggarsichi Dhaabbata Mootummoota Gamtoomanitti Sagantaa Misoomaa Ityoophiyaatti demokraasii cimsuuf proojaktii gaggeeffamu raawwachiisuuf kan ooludha jedhameera akka FBC gabaaseetti.,,
Free,Wanti umannii isinirraa barbaadu tokkummaan dha gaafa tokkuummao hin jirree eenyuu biratu kabajaa hin argattuukanaaf saba kee jabeessii,,
Hate,Yaadumti inni guyyaa waarshaa daabboo eebbisu jedhe sun maal ibsa Harree sodaatee daawullaa waraane jedha oromoon Kaayyonsaa nuuf ifa bubbulee yoo sirreeffame jenneti malee kana booda uummata oromoo ficcisiisee amaara qofa yaa bulchu ,,
Hate,PBS baaga sirna nafxanyatiti daabalamtan  Ifiifu duuti maalif ifuuti je e naamtichi,,
Hate,yaa warra garaan dura dhalate,,
Free,"Bara darbe yeroo WBO bosonaa galchuudhaaf koreen tekinikaa hundaa'e koree sana keessaa tokko kan turan Obbo Dhugaasaan, ""faarri isaa akka hin taane bareen gara WBO'tti makame"" jedhu.",,
Free,TPLF awwaalamtu male biyyi kenya nagaa hintaatu,,
Hate,Tplf abbaa opdo ti lolli garii miti marii jedhe KFO MALEE lolla abbaa ilma hin seenu garuu immoo midhaan isaa kan biyyaati kanaafuu dhisaa marii godhaa jedhe kfo ,,
Free,Dhugaadhaa dhimmii amantiikun nurraa hafuu qabasaayasin itoophaayaa dandii cufa qofa Tarsimootokkoohin qabu,,
Free,Aadaa fi safuu biyyaa kanaa keessati Gadi fuula gammachuutin kolfaa gadan hin jiru yoo qoosa taate malee  lubbuun nama kana rabbii birati bakka qabdi,,
Hate,Ustaz lubbuu ijoolee Oromoo university amaaraa dhumte san hin dubbanne maaliif garuu,,
Free,Akka keenya beektaf  akkas jetta Guyyaa tokkoti nama meeqa gammachiisa jirta Akka oromoo beekuuf akka fedhan nu arraabsa akka fedhan nu tuffataa arra  wayyoo qeerroon goota jechuun isa galuuf maalif akka jedhaama jiru beeka garuu  siluuma maalif akka qabsaaama jiru hin beeku tanaan garuu gammachiisu dandeessa Dhala  diqaala,,
Hate,Abiy lammaa gane jawaar gane oromoo mara gane duuti kee dhiyoo jirti,,
Free,Jilli ministira Raayyaa Ittisa Biyyaa FDRI obbo Lammaa Magarsaatin duurfamu torbee darbee kaasee Faransaayitti daawwii hojii taasiseera.,,
Free,Dabalataanis gamoon mana hojiiabba darbii lamaa ijaaramaa jiru xumuramaa akka jirus himaniiru.,,
Free,Labsii fi tumaalee filannoorratti hubannoo waloo qabachuuf mari'ataniiru.,,
Hate,Oromoon seenaa keessatti hayyootaa fi dhaloota jajjaboo akka Haayilee Fidaa fi Baaroo Tumsaa argatee tureGaruu utuu uummanni Oromoo siyaasa ijoollee isaa kana hubatee tumsuu hin eegalin diinni waan yaada isaanii dursitee waan barteef jalaa galaafatteIsaan kana qofaa miti qabsaaota hedduu sammuu qaroo fi beekumsa siyaasaa abjuu dheeraa waliin qabatanii sochaaa turan hedduu utuu uummanni hin barin dhoksaatti ajjeeftee uummata Oromoo imimmaan boossisaa hambiftee jirti Abbaan Seenaa Dr Abbichuunis akkanumaDiinni bilchina siyaasaa isaa fi aantummaa inni saba isaaf qabu beeku dursee utuu inni uummatasaan wal hin argin ajjeesuuf boombii itti darbateAchii masaraa keessaa baasuuf fonqolcha itti shirateSun hunduu fashallaan firaa fi orma itti bobbaasee uummata isaatiin wal jibbisiisuuf ajandaa amaaraa itti bocateAmmoo obbolaa isaa keessaa baandaa bitee wal nyaachisuuf baajata guddaa baasee ittiin hojjechaa jira Dhugaan kun oolee bulee firiidhaan hanga mulatutti jenneeti kan nuti adamfamaa,,
Hate,isin dhiiga oromoo dhangalaasuuf qophooftanii teessu galata eenyurraa argachuu barbaaddan,,
Hate,Enyuu Kan Ajjeesee  Humnii hidhaate Naannoo saan Sochooaa jiruu enyuu Ittii yaadamee wan Goodhameef irraa dibaan biraa darbuun hin taatuu,,
Hate,Kun yaada dhunfaa kessaniitii kan ummata erga fudhachuu dhiistanii turtanittu,,
Free,DrLammaan walgayii PP haraa irratti argamaniiru moo hin argaminee gaaffiin jedhu heddumateeraMinstirri Minsteera Raayyaa Ittisa biyyaa keenya DrLammaa Magarsaa walgayii KHR PP guyyaa haraa eegalame irratti hin argamneDrLammaan yeroo ammaa biyya Amerikaa jiraachuu isaan qofan beekaNagaan nuu gali LammishooOdeeffannoo Jaallee Lammaa ilaalchisee ammaaf ani qabu kanumaOdeeffannoo dabalataa yoon argadhe qabadheen deebiaHoraa bulaa,,
Hate,Kijibdoota Ibsa ejjannoo bira hin luftan Haga keessan isin beekaniif biyya akkanatti raasu Puppet,,
Free,Waaqayyoon tokkummaafi jaalala nuuf haa kennu AMEEEEEN,,
Hate,akki feetan isinii himuu ee laal isin ajjeefna isin gabroomsina isin gurgurra warra isin keessaa waabeeku ajjeefna kaan hiinaa hindubbatinaa jechuu feetan koottu ninyaattaa yaabulguu amaaraa ,,
Free,Rabbi tokko tahen sif kakadhu ummata isin injifata male isin hin injifatta akkuma guyyaf halkan demutti qabson ummata oromolle fulaa duraatti demaa wallalummaa kessantu hundaa isin dhabsise oto haqa ummata eydani jiraattani silaa namni angorratti isin mormu hin jiru warra abba garaatifi amaaralle namni bollaa takkatti gadi hare Abiyot ilmaa sagagalumman dhalate carraa kessani araami kalessa yero wayyaane ulee taatani  ummata tumtan sanu motumman sinbirre miti kaa furanfurrisan busaa otomaa jettan tigre maqale isinirra naqne isin namaa sene ango isinitti kennine edaa isin namaami  hobbati  hobbatin buaa maali qabdi ree awwaluu malee,,
Free,"Oromiyaan tasgabbooftee jennaan naannoleen biroon ni tasgabbaa'u, kanaaf ammoo furmaanni dhaabbilee Oromoo harka jira jedhan.",,
Hate,uttuu oromoof yaaddanii umaar husenifi  Adanechi keessa tokko as keesu kun gowwaan wwa dubatuyyuu hin bekuu,,
Free,Kaantibaan bulchiinsa magaalaa Roobee obbo Gazaahenyi Dajanee akka ibsanitti buufanni konkolaataa lafa heekteera 3 irratti ijaaramaa jiru kun waajjirraalee adda addaa tajajilÃƒÂ a baankii  mana yaalaa  mana fincaanii fi iddoo aara galfii kan of keessaa qabu tauus himaaniru,,
Free,Kan Waaqayyo banne eenyu iyyuu hin cufuu  Egaa ni gaa Waallaalummaan guyyoomnee jabaa fakkatee namni afaan isaa nu irratti hin feu Jarri kun lafarratti mirga afaan keenyaan Waaqeffachuus nu sarbamii karra mana Waaqaas nutti cufuuf deemu  Jaalala amantaa Kanaaf keessatti hafne malee Magaalaan mitii,,
Free,Xalayaa Gaazexeessaan Keeniyaa Yaasiin Juumaa Barreesse Afaan Keenyatti Kan Hiike  HawiAnole   Ani Gaazessaa biyya keeniyaa kanin tahe Yaasiin Juumaa,,
Hate,Shaneen  gababumati  gaaluf qopae kanafu akamiti soba male dhugafodhatu kkkk,,
Hate,amantiin habashaa ortoon amma jirutti nagaa hin argannu,,
Free,Diinqa hiyyeessaatii amma haamaa midhaan qonnaan bulaatti bobba'ee kan jirudha jedhaniiru,,
Hate,Qabsoo Oromoo milkeessuuf KFO fi Shaneen kan waggaa 50 itti kakatan OPDO waggoota 2 keessatti hoogganee galmaan gahe,,
Free,Bilginnan guyyaa harraa hiriraa dirqaamaaf calanderaan soochirraa jiraa jechuudha.Garuu birriin hirirraaf kaafalamuu misoomaa biyyattiif osoo olee gariidha.Nama hayyonniifi manguddoon tuffataan faarsuun fafa!,,
Hate,Mr Taye It has been reported More than  oromia special forces were claimed to work for OLAthink special Force so What will be your fate sir Learn from TPLF,,
Hate,Badii doofaa,,
Free, Deetaan ministira Ministeerichaa Aadde Munaa Ahmad waltajjii marii dhimma hoggansaafi murtii kennummaa dubartootaarratti Guyyaa Dubartoota Addunyaa (Ã¢â‚¬ËœMarch 8Ã¢â‚¬â„¢) sababeeffachuun adeemsifamerratti akka jedhanitti tattaaffiin eegalame akka milkaaÃ¢â‚¬â„¢uuf qaamoleen qooda fudhattootaa hunduu qindoominaan hojjechuu qabu,,
Free, Ati ummata wayyabarraa dhufte waan taheef sunimmoo siif taha,,
Hate,Seerri Keessan Oromoofi Oromiyaa Irratti Qofa Hojjata Ilmaan Gadhee,,
Free, Muummeen Ministiraa FDRI Dooktar Abiy Ahimad Filannoo marsaa 6ffaa biyyaalessaa barana gaggeeffamu ilaalchisee hoggantoota Federaalaa fi naannolee waliin mariÃ¢â‚¬â„¢ataniiru,,
Hate,Hattuu bututtuu diqaala abbaa dhabdenafxanyaan bara dukkanaa oromoo oromoon galaafatte Bara keessan ammoo isinumaatu oromoo galaafate Oromummaa koo isiniif hin dhiisu ittiiniin boona Itti hin saalfadhu Oromoo taheetiin dua Nafxanyaan biyya abbaa koo hin dhaaltu Abadan,,
Hate,amaarri ilaalcha nafxanyummaa malee ilaalcha gaarii inumaayyuu hin qabdu,,
Free,Vaayrasichi biyyoota kudha saddeetitti akka tamsaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢e beekkameera,,
Free,Siichi ummanni geggeessaa akka kanaatiin wolbaree kaee kolkollee woma arge jala guyyaa tokko hinbulu,,
Free,Kabajamtuu Aadde Mufariyaat Kamil baga ayyaana IdAlfaxirii bara kanaatiin nagaan si gaheEid Mubarak,,
Hate,Hafuuftuwwan mee yoo dhuguma tae akkuma isaan miidiyaadhaan haasaan gadi baha dubbadhaakaa miidiyaa mootummaa hundaan,,
Free,Rip oromoon hara nama guddaa tokkoo dhabadee jirti hayyuu walaloon beekamu rabbi lubbu kee janta haa galchuu,,
Free,"Bara baajataa 2normal12tti marsaa sadiin ambulaansota kuma 1 fi 857 Birrii biiliyoona 2.5 oliin bituun, biirolee eeggumsa fayyaa naannoolee fi bulchiinsota magaalootaatif raabsuf karoorfameet ture.",,
Free,Hojiilee ijoo waggoottan lamaafi walakkaa darban keessatti raawwataman keessaa tokko riifoormii damee telekoomiiti Qaama ajandaa riifoormii dinagdee biyyaa maddee tauusaatiin mootummaan damicha guddisuuf hojiilee adda addaa hojjeteera Hara ganama qaamolee ijoo dhimmichi isaan ilaallatu waliin walargee telekoomii libraalomsuufi gartokkeen dhuunfaatti dabarsuuf waan hojjetamaa jirru ilaalchisee  mariiadheera                                                     One of our key milestones in the past two and half years is the telecom sector reform activities,,
Free,Amajji 4 bara 2normal12 ALItti manni murtii federaalaa Lidataa yeroon qorannoo poolisiif kenname xumurameera jechuun akka wabiin bahuuf ajaja dabarsuu himan,,
Hate,Eeyyee haala Amma keessa jirruun Oromoon qabsaa'ee wayyaanee ofirraa buusuun dogoggora Sababnisaa kaayyoon qabsoo Oromoo wayyaanee aangoorraa buusuu qofa hin turre Beekta Kaayyoon qabsoo Oromoo mirga abbaa biyyummaa mirkaneeffachuudha Malee sirna federaalizimii sabdaneessaa diiguun paartii qeenxeen bakka buusuu miti Oromoodhaaf nafxanyaarra wayyaanee wayya Warri hara wayyaanee deggeru kakeessas Wayyaanee deggeraa turan kan jettu kana xiqqooma saalfadhu yaa qotiyyoo wayyaanee kaleessa sangaa nafxanyaa haraa Oromoon waan gaafate qaba Biyya isaarratti abbaa tahuu barbaade Kanaaf aarsaa kaffale Garuu aarsaa kaffalus qabsoon isaa boodatti deebie malee buaa hin arganne Walumaagala jaallattus jibbitus ammaan mirga ofiin of bulchuu sabaafi sablammoota biyyattii diigeen sirna qeenxee nafxanyaa diriirsa jedhanii yaaduun maraatummaadha Tigraayitti kan duultan mirga ofiin of bulchuu isaanii sarbuuf malee waan balleessan hin qaban Badii kaleessaa taanaan kolonel Abiyyis adda durummaan isaan waliin dalagaa ture TPLF paartii uummanni Tigraayi filateedha Sagaleen sabichaa kabajamuufii qaba Oromoon mirga ofiin of bulchuu uummata Tigraayi haa kabajamu jechaa jira malee Tigraayi waliin shira addaa qabaatee miti Kana hamileenkee beeka yaa sangaa nafxanyaa Qaamni hara hayyoota akka Jawar Mohammed hidhee Tigraayi irratti lola bane Oromoofis diina hamaadha Wayyaanee waliin dhimma federaalizimii sabdaneessaa irratti waliigalla Nafxanyaa waliin garuu waan irratti waliigallu tokkollee hin qabnu Nafxanyaan haras kaleessas boris diina Oromooti Atimmoo sangaa nafxanyaati ykn diqaalaa afaan barteedha   Nafxanyaan yeroo xumuraatiif ni awwaalamti Hangasuu waan feete munaagi Biyyattiin cubbuun ijaaramte kun cubbuu harcaatota nafxanyaatiin diigamti   Namoonni qabsaanii wayyaanee kuffisan mana hidhaa jiru Kaan ni ajjeefaman Diqaalaan kaleessa Wayyaaneef ergamaa turte hara gaangeenafxanyaati Gaangeen diqaalaadha ,,
Free,"Hoggantichi akka jedhanitti, Itti gaafatamaan Waajjira Poolisii Magaalaa Mooxaa, Itti gaafatamaan To'annaa Yakkaa Magaalichaa, Itti gaafatamaan Waajjira Minishaa Magaalichaafi Itti Gaafatamaan Bobbii Minishaa Magaalichaa to'annaa jala oolfamaniiru.",,
Hate,Gaafa akka harreetii halktuu akkaa tokkummaan uummaata digaamu ni walaltee  Fafacaatii ammaa kan ittii gaafatamummaa kan fudhaatuu addaa dureen si tahu barii  galmee gobana dacceettii antee tahuun kee hin hafuu   Haga fete halakii haga fete gangaaladhuu  tarree gantoota jala hin batuu,,
Free,Biyyaa abbaa hin qabineef ilmii abbaa hin qabinee akkaa tokkoo Osoo motummaan biyyaa sanaaf abbaa tauu jirattee ummanii miskiin kun dirree irrrattii hin dhummuu,,
Free, Biraanuu Juulaa Ajajaa Humna Qilleensa Itoophiyaa Jeneraal Yilmaa Mardaasaa L,,
Hate,Shaneen saahiba wayyaanee,,
Free,Waanuma tokkoyyuu hin gootan  Filannooyyuu geggeessan mitiiree kun isaaniif homaa miti,,
Hate,itoophiyaa impaayera amaaraa nurratti faarsitaa dhala qomaaxaa minilikis dur kan akka keetii kana qabatee ummata fixaa ture atis kanuma fudhattee kaatee ummanni ammas inuma ajjeesa inuma injifata nafxanyoota,,
Free,warraa hacee ajjeesse awallaa shirked fi wayyanenis tokko hin beektu bufaa,,
Hate,Dubbiin kun dhugaa taanan baayee nama gaddisiisaTokkummaa keenyaf jenne hanga yoonatti obsa guddaan dabarsaa jirraAkka warri naafxanya jedhanis tauu baatu wantoota tokko osoo arginuu akka waan hin agarreetti bira darbaa jirraGaruu wanti akkanaa yeroo gabaabatti hin dhaabbatu taanan cabiinsa guddaa nuti fiduu dandaa KANAAF   Maxxannee tokkummaa oromoo diiguuf fiigdu gamanaayis,,
Free,Marsariitii hawaasummaa sirnaan yoo hin fayyadamne Birrii kuma  fi hidhaa waggaa  adabsiisa  Daayreektooreetiin Barnoota Hubanna Seeraa haatii alangaa Yesawzar Abbaaba,,
Free,Waa hundaa laqaa akka jirtaan argaa jiraa waan isiniraa hin hubatiin tokkoo mee maliif oromoo akka tufataan fi maliif nafxanyootaa akka kabajaan ifaa nuuf godhaa  akkasitti dinaa dinatti beynee isiin ilalaa,,
Free,Waaqayyo dua nama jaallatti hin gammadu biyyi keenyammoo sababa gaarii hojjetteef oolte waan boru nama qaqqabu akka waan cimaa taanetti utuu of jajuu dhiisnee gaariidha Oolmaa Ameerikaan waan baayee isaa Addunyaa kanaaf oolte dagannee maaliif negetive tokko qofaa fudhannee beekaa of goonaa,,
Hate,doomaa harree,,
Hate,Garuu an kan dhabuu Atii namumarraa dhalattee namaa jechuun  nama akkaa kessa darbee akkaa kessaa jiruu irraa dhabbattee ful duraa isaa tilmaamuu dandau  Atii garuu horii mitii horii jechuun yeroo dhigaa horii argee ni gadodaa Ati harreedha,,
Hate,Gara ABA gara sobduu,,
Hate,ppn oromoo wajjin diina jabduudha,,
Hate,Motumma cundhuraa ergamtu nafxanyaa ,,
Hate,Ummani kun kijibaa walin ummamani sa,,
Free, Adeemsi kunis mormitoota hundaaf dirree siyaasaa banuu fi akka bilisaan socho’an eyyamuu, Miidiyaa bilisa ta’ee hunda walqixxummaan tajaajiluu, fi boordii filannoo fi qaama seeraa Bilisa ta’ee loogii tokko malee hojjetu feesisa
Hate,"Garuu mootummaan isaanii mormii fi gaaffii uummataa rasaasaa deebisaa, qondaaltota siyaasaa paartilee morkattootaa ajjeesaa ture.",,
Hate,Kani fe'e fiddee motummaa dha sannuu xiyyaranii ,,
Free, Ummatni Oromoo dhageesseetta argaa jirta,,
Hate,Waya Ajaibaa Taye Dendea Aredo Garteemii Qeerroo tan duran ati Giirisaa Jatee Arbisituu Sunii bar Qeerroon,,
Free,Koreen Olompiikii Tookyoo Ityoophiyaa haala qophii Olompikii bara Faranjootaa 2020 ilaalchisee marii gaggeessera.,,
Hate,kan oromoo hin taane nu keessaa baasaa,,
Free,Amantii moo polotikaa dhaa Adda baasaa mee bukoon keessan nama rakkisaa Isinii abaaraa oolu malee kan isin abaare hin argines hin dhageenyes Amantiin Oromoo waaqeffannaa alatti hin jirtu Waaee eenyummab amantii Oromoof kan yaaddan yootae achitti walgahuun gaarii dha Ortodoksiin amantii saba tokkoo mitikan guutuu biyya lafaati malee Fooniin waan mootan yoo isinitti fakkaate iyyuu afuuraan duutaniittu Dhuga qabeeyyii of fakkeessitanis yaadni keessan kantuu fi baayee gabaabduu dha ,,
Free,Namni ati deeggartu yoo qeeqame yaadin ummataa sirrii miti jechuudhaa  Ati eennu caaltee kamaal galtuutiif xabaqaa dhaabtte  kamaal gantuu jechuun nama waraana bilisummaa  oromomoo diiguuf wayaaneen asmaratti ergeedha Kamaal gantuun nama  shaanxaa isaa  fi gandummaa Haburaa qofa qabatee biyyatti galeedha Kamaal jechuun nama umurii isaa ergamtuu tahee jiraataa tureedha Kanaaf  Hawi anolee gandummaan  eessanuu si ggeettuu dhiisi Yoo bilxiginaa kee barbaadde itti lixi malee kamaal has no contribution for Oromo struggle at all ,,
Free, 4 ijaarsisaa akka jirus himee jira,,
Free,Pass word sii harka badee jiraa namicho biyya keettu bulchu dadhabide uumanni badii tokko malee duaa woranna motummattin afuuftuu biyya guddatte irraasi waa barachu dadhabide ati waani jirtuu seeta ati jiruu duute,,
Hate,nama kana ajjeesuun dirqama kana malee afaan qabataa hin jirtu ergamtuu ilaan minilik,,
Free,yaadichii kaa DrAbiyyii Tahu ni beeknaa Beekan baar gamattii beeka walallan of birattuun arguu jedhaamamiree Juntaa tokko baleessine Juntaa biroo Akkan uumnee Sodaa  Qabaan ifatti Dubbataan  maal shakkaan laata waan yeroon deebisuu ,,
Free, Yuuniversitiin Naannoo Oromiyaas kanuma buura godhatee carraa leenjii kana qopheessee kennees itti idaan,,
Free,Magaalaan Maqalee toannoo Raayyaa Ittisa Biyyaa jala galtee,,
Hate,diqaalaa minilik finfinnee keessaa balleessuun furaata isa dhumaati,,
Free,Ministirri Muummee Abiy Ahmad waa'ee wallaggaa maal dubbatan,,
Free, Abidda mana hidhaa kanaan namoonni meeqa akka lubbuu dhaban hin mirkanoofne jedha IOM,,
Hate,oromoon biyya bulchuu hin danda'u diiguu malee,,
